fseqno,timestamp,car_count,inf_latency,model,gpu_util,gpu_power,network,gpu_mem,cpu_power,cpu_util,cpu_mem
8495,1738078362,12,0.0059750080108642,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8496,1738078362,13,0.0052387714385986,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8497,1738078362,11,0.0059640407562255,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8498,1738078362,11,0.0060324668884277,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8499,1738078362,11,0.0053596496582031,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8500,1738078362,13,0.0056087970733642,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8501,1738078362,14,0.005495548248291,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8502,1738078362,12,0.0052740573883056,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8503,1738078362,11,0.0058429241180419,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8504,1738078362,12,0.0052340030670166,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8505,1738078362,12,0.0053119659423828,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8506,1738078362,14,0.0060389041900634,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8507,1738078362,12,0.0053119659423828,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8508,1738078362,12,0.0051438808441162,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8509,1738078363,11,0.0061125755310058,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8510,1738078363,15,0.0055489540100097,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8511,1738078363,12,0.0053846836090087,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8512,1738078363,13,0.0061137676239013,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8513,1738078363,13,0.0059142112731933,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8514,1738078363,13,0.0056664943695068,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8515,1738078363,14,0.0073168277740478,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8516,1738078363,13,0.0051558017730712,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8517,1738078363,13,0.0055694580078125,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8518,1738078363,17,0.0057072639465332,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8519,1738078363,13,0.0059115886688232,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8520,1738078363,14,0.0053763389587402,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8521,1738078363,13,0.0052351951599121,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8522,1738078363,15,0.0056781768798828,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8523,1738078363,13,0.0057225227355957,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8524,1738078364,13,0.0066835880279541,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8525,1738078364,10,0.0052571296691894,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8526,1738078364,11,0.005324363708496,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8527,1738078364,11,0.0062232017517089,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8528,1738078364,13,0.0056467056274414,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8529,1738078364,14,0.0058798789978027,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8530,1738078364,14,0.00537109375,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8531,1738078364,13,0.0055201053619384,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8532,1738078364,14,0.0058767795562744,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8533,1738078364,14,0.0216472148895263,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8534,1738078364,12,0.005911111831665,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8535,1738078364,13,0.0053846836090087,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8536,1738078364,14,0.0065953731536865,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8537,1738078364,14,0.0065953731536865,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8538,1738078364,14,0.0065953731536865,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8539,1738078364,14,0.0065536499023437,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8540,1738078364,14,0.0054607391357421,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8541,1738078364,14,0.0165650844573974,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8542,1738078365,10,0.0061743259429931,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8543,1738078365,12,0.006216287612915,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8544,1738078365,13,0.0054402351379394,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8545,1738078365,15,0.0061097145080566,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8546,1738078365,12,0.0058894157409667,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8547,1738078365,12,0.0052485466003417,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8548,1738078365,12,0.0054192543029785,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8549,1738078365,11,0.0055046081542968,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8550,1738078365,12,0.0057339668273925,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8551,1738078365,12,0.0056993961334228,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8552,1738078365,13,0.0056116580963134,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8553,1738078365,12,0.0052740573883056,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8554,1738078366,12,0.0059924125671386,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8555,1738078366,14,0.0060417652130126,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8556,1738078366,14,0.0056414604187011,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8557,1738078366,14,0.0055451393127441,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8558,1738078366,13,0.0063426494598388,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8559,1738078366,13,0.0056612491607666,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8560,1738078366,12,0.0057923793792724,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8561,1738078366,14,0.0053772926330566,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8562,1738078366,13,0.0057201385498046,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8563,1738078366,13,0.005601167678833,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8564,1738078366,13,0.0052850246429443,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8565,1738078366,12,0.0066709518432617,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8566,1738078366,13,0.0063753128051757,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8567,1738078366,12,0.0056531429290771,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8568,1738078366,14,0.0057039260864257,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
8569,1738078367,11,0.0052480697631835,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
